,TEAM_NAME,CONFERENCE,DIVISION,SEASON,PAYROLL_USD
0,Brooklyn Nets,Eastern,Atlantic,2014-15,87817289
1,Los Angeles Clippers,Western,Pacific,2014-15,85259447
2,Dallas Mavericks,Western,Southwest,2014-15,84820225
3,Cleveland Cavaliers,Eastern,Central,2014-15,82592827
4,New York Knicks,Eastern,Atlantic,2014-15,81369219
5,Toronto Raptors,Eastern,Atlantic,2014-15,81317963
6,Oklahoma City Thunder,Western,Northwest,2014-15,80408520
7,New Orleans Pelicans,Western,Southwest,2014-15,80012866
8,Los Angeles Lakers,Western,Pacific,2014-15,77546500
9,Houston Rockets,Western,Southwest,2014-15,76849302
10,Miami Heat,Eastern,Southeast,2014-15,75813041
11,Memphis Grizzlies,Western,Southwest,2014-15,75158730
12,Indiana Pacers,Eastern,Central,2014-15,74793526
13,Golden State Warriors,Western,Pacific,2014-15,73611166
14,Sacramento Kings,Western,Pacific,2014-15,73379071
15,Washington Wizards,Eastern,Southeast,2014-15,73372974
16,San Antonio Spurs,Western,Southwest,2014-15,70770209
17,Portland Trail Blazers,Western,Northwest,2014-15,69936842
18,Minnesota Timberwolves,Western,Northwest,2014-15,69378954
19,Chicago Bulls,Eastern,Central,2014-15,67414682
20,Detroit Pistons,Eastern,Central,2014-15,67410675
21,Charlotte Hornets,Eastern,Southeast,2014-15,66792937
22,Boston Celtics,Eastern,Atlantic,2014-15,62218516
23,Utah Jazz,Western,Northwest,2014-15,60847538
24,Orlando Magic,Eastern,Southeast,2014-15,59629210
25,Atlanta Hawks,Eastern,Southeast,2014-15,58320278
26,Phoenix Suns,Western,Pacific,2014-15,58018672
27,Denver Nuggets,Western,Northwest,2014-15,56820307
28,Milwaukee Bucks,Eastern,Central,2014-15,54473275
29,Philadelphia 76ers,Eastern,Atlantic,2014-15,54355571
30,Cleveland Cavaliers,Eastern,Central,2015-16,108300458
31,Los Angeles Clippers,Western,Pacific,2015-16,97019321
32,Oklahoma City Thunder,Western,Northwest,2015-16,95708387
33,Golden State Warriors,Western,Pacific,2015-16,93669566
34,San Antonio Spurs,Western,Southwest,2015-16,87832839
35,Houston Rockets,Western,Southwest,2015-16,87504058
36,Chicago Bulls,Eastern,Central,2015-16,87073838
37,Miami Heat,Eastern,Southeast,2015-16,85764781
38,Washington Wizards,Eastern,Southeast,2015-16,85055155
39,New Orleans Pelicans,Western,Southwest,2015-16,83709371
40,Memphis Grizzlies,Western,Southwest,2015-16,83223881
41,Brooklyn Nets,Eastern,Atlantic,2015-16,80258302
42,Detroit Pistons,Eastern,Central,2015-16,77256014
43,Boston Celtics,Eastern,Atlantic,2015-16,77141919
44,Charlotte Hornets,Eastern,Southeast,2015-16,76860006
45,Dallas Mavericks,Western,Southwest,2015-16,75397067
46,New York Knicks,Eastern,Atlantic,2015-16,74237021
47,Milwaukee Bucks,Eastern,Central,2015-16,73843541
48,Los Angeles Lakers,Western,Pacific,2015-16,72694352
49,Denver Nuggets,Western,Northwest,2015-16,72589023
50,Minnesota Timberwolves,Western,Northwest,2015-16,72287243
51,Atlanta Hawks,Eastern,Southeast,2015-16,71661760
52,Indiana Pacers,Eastern,Central,2015-16,71605233
53,Toronto Raptors,Eastern,Atlantic,2015-16,71591189
54,Sacramento Kings,Western,Pacific,2015-16,70610560
55,Phoenix Suns,Western,Pacific,2015-16,68095365
56,Philadelphia 76ers,Eastern,Atlantic,2015-16,64583220
57,Utah Jazz,Western,Northwest,2015-16,63608425
58,Orlando Magic,Eastern,Southeast,2015-16,63199651
59,Portland Trail Blazers,Western,Northwest,2015-16,61685814
60,Cleveland Cavaliers,Eastern,Central,2016-17,128522489
61,Portland Trail Blazers,Western,Northwest,2016-17,119732234
62,Los Angeles Clippers,Western,Pacific,2016-17,114756766
63,San Antonio Spurs,Western,Southwest,2016-17,112017779
64,Memphis Grizzlies,Western,Southwest,2016-17,110083520
65,Toronto Raptors,Eastern,Atlantic,2016-17,108599970
66,Detroit Pistons,Eastern,Central,2016-17,106492988
67,Orlando Magic,Eastern,Southeast,2016-17,104096951
68,Washington Wizards,Eastern,Southeast,2016-17,104016580
69,Charlotte Hornets,Eastern,Southeast,2016-17,103054004
70,New York Knicks,Eastern,Atlantic,2016-17,102593418
71,Dallas Mavericks,Western,Southwest,2016-17,102354966
72,New Orleans Pelicans,Western,Southwest,2016-17,101616451
73,Golden State Warriors,Western,Pacific,2016-17,101584835
74,Miami Heat,Eastern,Southeast,2016-17,100740770
75,Atlanta Hawks,Eastern,Southeast,2016-17,96315163
76,Milwaukee Bucks,Eastern,Central,2016-17,96245877
77,Sacramento Kings,Western,Pacific,2016-17,95596327
78,Los Angeles Lakers,Western,Pacific,2016-17,94781848
79,Boston Celtics,Eastern,Atlantic,2016-17,93465326
80,Chicago Bulls,Eastern,Central,2016-17,92522306
81,Oklahoma City Thunder,Western,Northwest,2016-17,91230089
82,Houston Rockets,Western,Southwest,2016-17,90956067
83,Indiana Pacers,Eastern,Central,2016-17,90279072
84,Phoenix Suns,Western,Pacific,2016-17,89754590
85,Philadelphia 76ers,Eastern,Atlantic,2016-17,84775343
86,Denver Nuggets,Western,Northwest,2016-17,83836460
87,Minnesota Timberwolves,Western,Northwest,2016-17,83527580
88,Brooklyn Nets,Eastern,Atlantic,2016-17,82391482
89,Utah Jazz,Western,Northwest,2016-17,80138192
90,Cleveland Cavaliers,Eastern,Central,2017-18,137722926
91,Golden State Warriors,Western,Pacific,2017-18,137610134
92,Oklahoma City Thunder,Western,Northwest,2017-18,134534640
93,Miami Heat,Eastern,Southeast,2017-18,133624374
94,Washington Wizards,Eastern,Southeast,2017-18,123306396
95,New Orleans Pelicans,Western,Southwest,2017-18,120814452
96,Milwaukee Bucks,Eastern,Central,2017-18,120521249
97,Houston Rockets,Western,Southwest,2017-18,119905532
98,Detroit Pistons,Eastern,Central,2017-18,119773191
99,Los Angeles Clippers,Western,Pacific,2017-18,119093010
100,Portland Trail Blazers,Western,Northwest,2017-18,118708146
101,Charlotte Hornets,Eastern,Southeast,2017-18,117382664
102,Toronto Raptors,Eastern,Atlantic,2017-18,116929373
103,Minnesota Timberwolves,Western,Northwest,2017-18,116075131
104,Boston Celtics,Eastern,Atlantic,2017-18,115284776
105,San Antonio Spurs,Western,Southwest,2017-18,114633844
106,Memphis Grizzlies,Western,Southwest,2017-18,110700149
107,Denver Nuggets,Western,Northwest,2017-18,107543599
108,Utah Jazz,Western,Northwest,2017-18,105606838
109,New York Knicks,Eastern,Atlantic,2017-18,105403130
110,Los Angeles Lakers,Western,Pacific,2017-18,103126557
111,Philadelphia 76ers,Eastern,Atlantic,2017-18,100797386
112,Atlanta Hawks,Eastern,Southeast,2017-18,99992696
113,Sacramento Kings,Western,Pacific,2017-18,99587185
114,Orlando Magic,Eastern,Southeast,2017-18,98700258
115,Brooklyn Nets,Eastern,Atlantic,2017-18,95475397
116,Indiana Pacers,Eastern,Central,2017-18,95271736
117,Phoenix Suns,Western,Pacific,2017-18,92684083
118,Chicago Bulls,Eastern,Central,2017-18,90466801
119,Dallas Mavericks,Western,Southwest,2017-18,85440245
120,Miami Heat,Eastern,Southeast,2018-19,153171497
121,Golden State Warriors,Western,Pacific,2018-19,146291276
122,Oklahoma City Thunder,Western,Northwest,2018-19,144916427
123,Toronto Raptors,Eastern,Atlantic,2018-19,137793831
124,Milwaukee Bucks,Eastern,Central,2018-19,130988604
125,Portland Trail Blazers,Western,Northwest,2018-19,130256600
126,Detroit Pistons,Eastern,Central,2018-19,126557932
127,Houston Rockets,Western,Southwest,2018-19,126474100
128,Boston Celtics,Eastern,Atlantic,2018-19,125334993
129,Memphis Grizzlies,Western,Southwest,2018-19,125188633
130,Washington Wizards,Eastern,Southeast,2018-19,123747588
131,New York Knicks,Eastern,Atlantic,2018-19,123387454
132,Cleveland Cavaliers,Eastern,Central,2018-19,123255073
133,Minnesota Timberwolves,Western,Northwest,2018-19,121962221
134,San Antonio Spurs,Western,Southwest,2018-19,121588790
135,Charlotte Hornets,Eastern,Southeast,2018-19,121427859
136,Brooklyn Nets,Eastern,Atlantic,2018-19,118850600
137,Denver Nuggets,Western,Northwest,2018-19,118327016
138,Los Angeles Clippers,Western,Pacific,2018-19,118026816
139,New Orleans Pelicans,Western,Southwest,2018-19,116052756
140,Philadelphia 76ers,Eastern,Atlantic,2018-19,115127167
141,Orlando Magic,Eastern,Southeast,2018-19,114394213
142,Utah Jazz,Western,Northwest,2018-19,113826156
143,Chicago Bulls,Eastern,Central,2018-19,112598201
144,Indiana Pacers,Eastern,Central,2018-19,110724804
145,Phoenix Suns,Western,Pacific,2018-19,108692835
146,Los Angeles Lakers,Western,Pacific,2018-19,107225482
147,Sacramento Kings,Western,Pacific,2018-19,101466920
148,Dallas Mavericks,Western,Southwest,2018-19,86958881
149,Atlanta Hawks,Eastern,Southeast,2018-19,79180081
150,Oklahoma City Thunder,Western,Northwest,2019-20,132017938
151,Portland Trail Blazers,Western,Northwest,2019-20,131979953
152,Los Angeles Clippers,Western,Pacific,2019-20,131506341
153,Cleveland Cavaliers,Eastern,Central,2019-20,131059022
154,Philadelphia 76ers,Eastern,Atlantic,2019-20,129912339
